id,Binom,Poisson,Seq,Name,Date
1,0,6,1,Mordecai Goodwell,6.11.2016
2,1,4,1,Issy Pikesley,30.8.2016
3,1,8,1,Jamima Dafter,17.10.2016
4,0,2,1,Prissie Hutson,19.5.2016
5,0,3,1,Mikkel Lentsch,30.10.2016
6,1,4,1,Rosalynd Lean,10.2.2017
7,1,3,1,Merl Cairns,29.8.2016
8,1,10,1,Prissie Baudrey,25.10.2016
9,1,4,1,Hymie Mountstephen,25.1.2017
10,1,6,1,Osborn Matiebe,21.6.2016
11,0,5,1,Maritsa Lough,19.5.2016
12,1,8,1,Carlita Robardley,18.10.2016
13,1,10,1,Randa Gladdin,13.12.2016
14,1,4,1,Chevalier Bernardez,24.3.2017
15,0,5,1,Virginia Di Matteo,2.12.2016
16,1,6,1,Bill Bruno,23.7.2016
17,0,9,1,Correy Lere,14.3.2017
18,1,7,1,Aldo Dacres,15.2.2017
19,0,2,1,Kailey Ayscough,11.8.2016
20,0,5,1,Errick O'Hone,12.6.2016
21,1,2,1,Gilemette Farnall,18.5.2016
22,0,5,1,Denny Millam,16.12.2016
23,0,3,1,Gavin Matley,2.8.2016
24,0,7,1,Russ Darte,3.7.2016
25,0,7,1,Marten Truckett,15.10.2016
26,1,5,1,Reg Paute,21.7.2016
27,0,2,1,Sara-ann Gentsch,27.10.2016
28,1,4,1,Rikki Ribou,13.6.2016
29,0,6,1,Mendie Heberden,12.7.2016
30,1,8,1,Rick Bremmell,7.10.2016
31,1,6,1,Masha MacCaig,17.7.2016
32,0,9,1,Lawton Emson,10.2.2017
33,1,5,1,Percy Bloxham,9.9.2016
34,1,5,1,Ulrick Faivre,7.9.2016
35,1,11,1,Romona Chislett,23.10.2016
36,0,4,1,Andrey Orrice,18.5.2016
37,0,5,1,Demetris Lehmann,3.8.2016
38,0,5,1,Aurelea Sarre,19.5.2016
39,0,4,1,Caitlin Roote,5.8.2016
40,1,2,1,Netta Dammarell,16.10.2016
41,1,2,1,Viviana Reyes,3.12.2016
42,0,3,1,Bay Lowin,16.3.2017
43,1,6,1,Wylie Benedit,17.9.2016
44,0,3,1,Domeniga Antonomolii,28.6.2016
45,1,3,1,Adelle Eubank,9.11.2016
46,0,1,1,Gardener Graybeal,2.7.2016
47,0,4,1,Kirsten FitzGeorge,29.9.2016
48,0,7,1,Jennette Cicconetti,10.4.2017
49,0,2,1,Shalna Mix,28.6.2016
50,1,8,1,Geoffry Orsman,2.6.2016
51,0,4,1,Fons Cruise,16.12.2016
52,0,6,1,Todd Luddy,4.10.2016
53,1,9,1,Daveen Addicote,23.9.2016
54,0,5,1,Nissie Harrell,8.5.2017
55,1,7,1,Forrester Bansal,23.12.2016
56,1,4,1,Ebonee Whithorn,9.6.2016
57,1,5,1,Massimiliano Plumridege,14.4.2017
58,1,4,1,Reggy Stedell,30.3.2017
59,1,3,1,Broddie Vlies,23.5.2016
60,0,8,1,Raynell Inder,12.4.2017
61,0,3,1,Gillan Minmagh,25.7.2016
62,1,2,1,Israel Kaine,11.12.2016
63,0,9,1,Lucille Renner,12.2.2017
64,0,6,1,Dede Chell,10.8.2016
65,0,6,1,Gerard Totterdill,15.2.2017
66,0,4,1,Kiel Lunny,28.6.2016
67,0,5,1,Anstice Eldon,18.10.2016
68,1,3,1,Mathew Hekkert,9.5.2017
69,1,5,1,Ricki Suggey,12.9.2016
70,1,4,1,Pearla Baus,21.11.2016
71,1,7,1,Hazlett Giacopini,3.11.2016
72,0,8,1,Brenn Bauldry,10.3.2017
73,0,3,1,Hyacinth Daubeny,15.7.2016
74,1,7,1,Aigneis Bonnor,22.12.2016
75,1,6,1,Eolanda Kenwin,10.2.2017
76,1,7,1,Cathrine Ossulton,29.5.2016
77,0,5,1,Charo Sikorsky,23.3.2017
78,0,5,1,Mavra Feldberg,20.4.2017
79,1,5,1,Enid Fearnley,27.11.2016
80,1,4,1,Ardelis McCurley,9.6.2016
81,1,6,1,Layne Edy,28.2.2017
82,0,6,1,Natale Flaxon,26.2.2017
83,0,8,1,Marietta Hanhard,12.10.2016
84,1,4,1,Brennen Feathersby,15.8.2016
85,1,6,1,Blythe Slora,14.12.2016
86,0,2,1,Samuel Buttel,31.1.2017
87,0,1,1,Jourdan Bote,8.2.2017
88,0,13,1,Bernelle Deave,26.6.2016
89,1,2,1,Thatcher Franks,11.12.2016
90,0,5,1,Kippy Edgett,21.4.2017
91,0,3,1,Maddi Kuschel,29.11.2016
92,1,8,1,Lenee O'Cannan,26.1.2017
93,1,5,1,Jillane Silson,18.4.2017
94,0,4,1,Ann Fiddeman,27.10.2016
95,0,5,1,Pincus Hauxwell,25.2.2017
96,0,7,1,Seth Lorenz,4.10.2016
97,1,6,1,Ernestus Laville,20.11.2016
98,1,5,1,Adore Ixer,26.10.2016
99,1,5,1,Griz Grinnikov,4.8.2016
100,0,2,1,Loralee MacNeice,11.2.2017
101,0,3,1,Wanda Greenhalf,15.9.2016
102,1,3,1,Jacquie Sweetenham,1.11.2016
103,0,4,1,Torin Derby,22.10.2016
104,1,2,1,Garrik Rootham,27.1.2017
105,1,2,1,Riane Hardson,22.2.2017
106,1,5,1,Oralie Denyukin,11.3.2017
107,1,6,1,Nanni Dampney,24.8.2016
108,0,6,1,Law Couvet,13.7.2016
109,1,1,1,Nissie Epinay,6.8.2016
110,0,2,1,Holt Farnish,18.2.2017
111,1,9,1,Gertrud Yarranton,11.11.2016
112,1,1,1,Faydra Bentke,20.6.2016
113,0,9,1,Marijo Pottie,18.4.2017
114,1,2,1,Philippe Filipchikov,23.9.2016
115,0,4,1,Ellynn Work,3.4.2017
116,1,4,1,Cacilia Carletti,15.8.2016
117,0,4,1,Constanta Tume,3.1.2017
118,0,7,1,Donna Redsull,19.5.2016
119,0,4,1,Derek Prendergrast,18.4.2017
120,0,3,1,Clair Cavie,25.9.2016
121,0,2,1,Allsun Bartke,9.1.2017
122,0,2,1,Hanson Tomankowski,30.12.2016
123,0,4,1,Ronny Edyson,29.8.2016
124,0,4,1,Berti Lintot,10.4.2017
125,0,3,1,Christian Carbry,20.8.2016
126,1,4,1,Fields Rival,24.11.2016
127,0,4,1,Jerrie Merrall,28.1.2017
128,0,6,1,Caria Fortye,11.11.2016
129,1,4,1,Alonzo Campanelle,17.4.2017
130,1,3,1,Kaile Dulinty,13.10.2016
131,0,4,1,Issy Sykora,27.6.2016
132,0,4,1,Glennie Shelton,13.7.2016
133,0,9,1,Shoshanna Jefferys,15.1.2017
134,0,2,1,Ferdie Radleigh,7.2.2017
135,0,4,1,Clerc Dessaur,27.4.2017
136,1,6,1,Corbett Featley,31.5.2016
137,0,4,1,Winonah Brolly,30.7.2016
138,1,6,1,Fletch Avieson,25.1.2017
139,0,6,1,Edgard Cutmare,1.5.2017
140,1,7,1,Adriaens Perocci,21.5.2016
141,1,3,1,Katusha Gorger,27.10.2016
142,1,2,1,Janaya Willans,2.9.2016
143,1,3,1,Dalston Bucham,19.6.2016
144,0,4,1,Whitney Eliez,21.7.2016
145,0,6,1,Zechariah Tedder,19.10.2016
146,1,4,1,Ade Flello,7.12.2016
147,0,1,1,Ingrim Enbury,24.3.2017
148,0,7,1,Beatriz Faro,25.10.2016
149,0,6,1,Ardene Vasilevich,22.7.2016
150,1,6,1,Janel Tamsett,1.5.2017
151,1,2,1,Ainsley Jessup,25.1.2017
152,1,7,1,Devan Groom,10.12.2016
153,1,4,1,Hetty Antrag,19.6.2016
154,1,3,1,Bud Collet,7.12.2016
155,0,6,1,Vina Tripet,19.5.2016
156,0,6,1,Claudia Totman,1.10.2016
157,1,4,1,Wallie Telega,22.11.2016
158,0,2,1,Devin Reiners,16.12.2016
159,1,3,1,Nancy Buckle,15.10.2016
160,0,6,1,Papagena Wigley,14.1.2017
161,0,3,1,Bartholomeo Pinch,29.11.2016
162,1,3,1,Aurelia Doodney,25.5.2016
163,0,8,1,Corbie Tarquini,14.9.2016
164,0,5,1,Laurens Simo,6.2.2017
165,1,4,1,Dedie Farbrace,14.2.2017
166,1,5,1,Reinold Willetts,15.12.2016
167,0,5,1,Ted Tapin,6.10.2016
168,0,2,1,Frederigo Tupp,8.8.2016
169,0,5,1,Marilee O'Shirine,4.11.2016
170,0,3,1,Ruy Moyer,8.7.2016
171,1,7,1,Alicia Cawthry,6.2.2017
172,1,5,1,Rozalin Weerdenburg,18.9.2016
173,0,2,1,Doralyn Kleint,11.4.2017
174,0,10,1,Lorianna Milward,16.9.2016
175,0,3,1,Brigitta Gilliver,21.10.2016
176,1,2,1,Eleni Brisard,7.7.2016
177,1,4,1,Grant Dresche,18.1.2017
178,1,2,1,Whitney Beche,26.3.2017
179,1,4,1,Aldus Jezzard,22.4.2017
180,0,5,1,Ignazio Byrcher,30.7.2016
181,0,6,1,Saul Mountney,30.6.2016
182,0,7,1,Jenda Tonks,4.1.2017
183,1,5,1,Base Wratten,1.2.2017
184,1,8,1,Selinda Muldoon,19.3.2017
185,1,2,1,Feliza Nelius,18.6.2016
